El partido de voleibol está en curso entre las damas	Mujeres participando en las finales de la competencia de tenis
El patrimonio del insigne sudafricano se repartirá entre sus familiares, los colaboradores más cercanos de las escuelas donde estudió y el Congreso Nacional Africano , su partido, que actualmente permanece en el gobierno.	Además de a sus parientes, Mandela lega parte de su patrimonio a sus colaboradores más cercanos en los años oscuros del Apartheid, a las instituciones educativas en las que se formó y a su partido, el hoy gubernamental Congreso Nacional Africano en manos del cuestionado Jacob Zuma.
Las memorias de computadora proporcionan una de las principales funciones de la computación moderna, la retención o almacenamiento de información.	La "lógica" es una ciencia formal que estudia los principios de la demostración e inferencia válida.
La explosión ha tenido lugar en una escuela de la localidad de Potiskum, en la región de Yobe .	La explosión ocurrió en Potiskum, en el estado de Yobe.
Los bomberos de Nueva York lograron rescatar a dos trabajadores que limpiaban cristales en la nueva torre del World Trade Center y que se habían quedado colgados hoy en el piso 69, al desprenderse parte del cableado de su andamio.	Equipos de rescate de los bomberos de Nueva York acudieron esta tarde a la nueva Torre del World Trade Center en el centro financiero de Manhattan, donde un andamio de los que sirven para limpiar los vidrios exteriores del edificio quedó colgando en el piso 68 de manera peligrosa.
Utilizamos las fuerzas policiales, con sus equipos antimotines legales”, dijo Rangel Ávalos al referirse a la represión de las protestas que comenzaron en febrero de 2014.	Jens Modvig, relator para Venezuela, inició el 53° período de sesiones del organismo haciendo referencia a la represión durante las protestas que comenzaron en febrero de 2014.
El patrimonio del insigne sudafricano se repartirá entre sus familiares, los colaboradores más cercanos de las escuelas donde estudió y el Congreso Nacional Africano , su partido, que actualmente permanece en el gobierno.	Su legado también se lo disputa su otra familia, el Congreso Nacional Africano, el partido político en el que siempre militó.
Una pareja pinta en el suelo	Una mujer pinta en el suelo
La estatua de Lenin, que se encontraba en las cercanías del centro neurálgico de las protestas, fue reducida a escombros por los golpes de martillo perpetrados por los manifestantes a los días siguientes a su derribo.	La estatua de Lenin, que se erigía cerca del centro neurálgico de las protestas, la Plaza de la Independencia, fue reducida a pedazos a golpes de martillo en los días siguientes a su derribo por manifestantes radicales, el 7 de diciembre pasado.
El "espín" (del inglés "spin" 'giro, girar') o "momento angular intrínseco" se refiere a una propiedad física de las partículas subatómicas, por la cual toda partícula elemental tiene un momento angular intrínseco de valor fijo.	Pronto, el concepto de espín se amplió a todas las partículas subatómicas, incluidos los protones, los neutrones y las antipartículas.
La Cancillería emitió un comunicado en el que detalló que el embajador de México en Filipinas, Julio Camarena, estableció contacto con el náufrago así como con distintas autoridades del citado archipiélago, entre ellas el canciller Phillip Muller.	“Las autoridades locales reportan que el afectado manifiesta un precario estado de salud, derivado de su travesía en alta mar, pero que se encuentra en proceso de recuperación”, indicó en un comunicado.
Un niño está conduciendo un pequeño auto de carreras.	Un niño está montando una bicicleta.
La "Región de Los Lagos" es una de las quince regiones en las que se encuentra dividido Chile.	«La Región de los Lagos» es una región de Chile creada en 1974, mediante el Decreto Ley Nº 575; en un proceso denominado de regionalización.
Sin embargo, México ha resultado ser el país de América Latina donde peor concento se tiene del Papa, con 26% de encuestados que consideran sus logros pobres o mediocres.	Sin embargo, en América se encuentra, paradójicamente, el país donde más recelo despierta el nuevo Papa.
El "quechua" o "quichua" es una familia de lenguas originaria de los Andes centrales que se extiende por la parte occidental de Sudamérica a través de siete países.	El quechua habría tenido su origen en una lengua de la región central y occidental del Perú.
Perú también tiene interés en firmar a futuro un Tratado de Libre Comercio con la Unión Económica Euroasiática, alianza que engloba a Rusia, Bielorrusia y Kazajistán y que entrará en vigor el 1 de enero de 2015.	Humala asistió a firma de varios convenios entre nuestro país y Rusia. 
El nuevo acuerdo gasífero en discusión contemplará la venta por parte de Rusia de 30.000 millones de metros cúbicos de gas adicionales a China durante 30 años mediante desde depósitos en Siberia Occidental y entregados a través del oleoducto Altai.	El acuerdo suscrito contempla el suministro de gas a China desde los yacimientos de Siberia Occidental con entregas directas para el 2019.
Un grupo de varias personas sentadas en el piso dentro de un edificio	Un grupo de personas está sentado en una cornisa delante de un edificio.
Una mujer está llamando a su amiga.	Un hombre está llamando a su enamorada.
La gente está esperando piezas de autos.	La gente está esperando por el auto.
San José, 3 feb .- La embajada de Estados Unidos en Costa Rica felicitó a los candidatos presidenciales Johnny Araya y Luis Guillermo Solís por el éxito en los comicios del domingo, que los llevará a enfrentarse en una segunda vuelta el próximo 6 de abril.	Por segunda vez en la historia del país centroamericano, los candidatos presidenciales tendrán que enfrentarse en una segunda vuelta, dado que ninguno consiguió el 40% de los votos necesarios para proclamarse presidente.
Una pareja está disfrutando una connovedora sesión en un sofá.	Una pareja está disfrutando una conmovedora sesión en un sofá viendo una película.
La Ciudad del Vaticano alberga la Santa Sede, máxima institución de la Iglesia católica.	La máxima autoridad del Vaticano y jefe de Estado del mismo es el sumo pontífice, por lo que puede considerarse la única teocracia de Europa.
Un "catéter de diálisis" es un catéter usado para mover sangre del paciente a y desde la máquina de hemodiálisis.	La luz arterial (típicamente roja) retira la sangre del paciente y la lleva a la máquina de diálisis, mientras que la luz venosa (típicamente azul) retorna la sangre al paciente desde la máquina de la diálisis.
